name
Abdul Salaam
Abe Vigoda
Adam Baldwin
Adam Scott
Adelle Lutz
Adrienne Corri
Afemo Omilami
Al Martino
Al Matthews
Al Pacino
Alan Polonsky
Albert Hall
Alec Guinness
Alex Coleman
Alex Norton
Alex Rocco
Alexis Arquette
Alfonso Freeman
Alfre Woodard
Alfred Molina
Alice Krige
Alison Waddell
Allan Kolman
Alonzo Brown
Alun Armstrong
Amanda Plummer
Amanda Walker
Amber Waddell
Angus MacInnes
Anne Fletcher
Annette Helde
Annie Golden
Anthony Brienza
Anthony Chinn
Anthony Clark
Anthony Crivello
Anthony Daniels
Anthony Guidera
Anthony Heald
Anthony Higgins
Anthony Hopkins
Anthony Sharp
Ariana Richards
Arnold Schwarzenegger
Arthur Senzy
Aubrey Morris
Austin OBrien
Barbara Coles
Barry Dennen
Barry McGovern
Bee Duffell
Ben Bode
Ben Marley
Benicio DelToro
Bernard  Fox
Bernard Hill
Bernard Horsfall
Bert  Williams
Betsy Brantley
Bill  Raymond
Bill Bolender
Bill Dalzell
Bill Graham
Bill Paxton
Bill Pullman
Bill Reimbold
Bill Smitrovich
Billy Crystal
Billy DeeWilliams
Billy Devlin
Billy Zane
Blain Fairman
Bob Collins
Bob Peck
Bob Adrian
Bob Gunton
Bob Harks
Bob Penny
Bokeem Woodbine
Brad Dourif
Brad Pitt
Brenda Hillhouse
Brendan Kelly
Brendan Gleeson
Brent Hinkley
Brent Spiner
Brett Cullen
Brett Rice
Brian Cox
Brian Brophy
Brian Delate
Brian Libby
Brian Markinson
Brigitte Kahn
Brion James
Bronagh Gallagher
Brooke Smith
Bruce Wright
Bruce Boa
Bruce Bohne
Bruce Kirkpatrick
Bruce Willis
Buck Kartalian
Burnell Tucker
Burr Steers
Buzz Kilman
Peter Lorre
Peter Mullan
Peter Schrum
Peter Sellers
Peter Stormare
Phil Kelly
Quentin Tarantino
Rachel Schadt
Ralph Fiennes
Ralph Peduto
Rance Howard
Randy Oglesby
Randy Quaid
Raphael Sbarge
Ray Hassett
Ray McKinnon
Raymond Coulthard
Raymond OConnor
Read Morgan
Rebecca Klingler
Reg Cathey
Ricco Ross
Rich Turner
Richard Attenborough
Richard Bright
Richard Graham
Steve Reevis
Terry Richards
Tony Todd
Veronica Cartwright
Vic Tablian
Victor Garber
Vincent Schiavelli
Warren Clarke
Quentin Tarantino
Mark Rolston
Marya Small
Martin Serene
Mel Gibson
Kevin Bacon
Jodie Foster
Hal Galili
