AwardName DateIntroduced
International Film Critics Award,06/06/1930
International Online Film Critics' Poll,04/01/2009
Globes de Cristal Award,10/03/2006
Louis Delluc Prize,04/10/1930
German Film Critics Association Awards,11/10/1957
Gransito Movie Awards,09/09/1998
GoldSpirit Awards,25/01/2001
BAFTA Awards,10/12/1947
National Film Awards UK,19/12/2015
National Movie Awards UK,28/09/2007
American Film Institute,29/09/1967
Broadcast Film Critics Association,02/02/1995
Golden Raspberry Awards,31/03/1981
Gotham Awards,15/11/1991
Houston Film Critics Society,16/08/2007
National Society of Film Critics,09/04/1967
New York Film Critics Circle (NYFCC),02/03/1936
Academy Awards,16/05/1929
