name,description
Best Actor/Best Actress,It is given in honor of an actor who has delivered an outstanding performance in a leading role while working within the film industry.
Best Adapted Screenplay,"A ""Best Adapted Screenplay"" award is generally issued for the best achievement in transferring a written work from another genre, such as a novel or comic book, in whole or in part, to a feature film."
Best Original Screenplay,It was created for 1940 as a separate writing award from the Academy Award for Best Story. 
Best Animated Feature Film,The Academy Award for Best Animated Feature is given each year for animated films
Best Cinematography,
Best Costume Design,
Best Director,
Best Film Editing,
Best Foreign Language Film,"A ""Best Foreign Language Film"" is generally awarded to a film originating in a country and language different from those where the award is being given."
Best Makeup,
Best Picture,
Best Production Design,
Best Sound,
Best Visual Effects,
Outstanding British Contribution to Cinema,"Presented annually, the award for Outstanding British Contribution to Cinema was introduced in 1978 and is presented in honour of Michael Balcon. "
Outstanding British Film,
"Outstanding Debut by a British Director, Writer or Producer",The Award honors a special achievement displayed by a British talent in their First Feature Film
Best Documentary,Award given for documentary movies
Television Movie,
Best TV Series,
